Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE JOSE BONIFACIO;50000799;MS;Porto Murtinho;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA 13 DE MAIO, 1010 CENTRO. 79280-000 Porto Murtinho - MS.";(67) 32871149;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos";Atividade Complementar;-21.69865;-57.88398
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;E M CIVICO-MILITAR CLAUDIO DE OLIVEIRA;50000802;MS;Porto Murtinho;Urbana;A escola não está em área de localização diferenciada;Pública;"AMADEO SANTO E SILVA, 89 PREDIO. FLORESTAL. 79280-000 Porto Murtinho - MS.";(67) 32871753;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-21.6940804;-57.883236
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM THOMAZ LARANGEIRA;50000810;MS;Porto Murtinho;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CORONEL ALFREDO PINTO, 171 CENTRO. 79280-000 Porto Murtinho - MS.";(67) 32871789;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-21.69751667;-57.88554667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMR DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL BONIFACIO GOMES POLO E EXTENSOES;50000829;MS;Porto Murtinho;Rural;A escola não está em área de localização diferenciada;Pública;"ESTRADA BOCAIUVAL, S/Nº COLONIA. RURAL. 79280-000 Porto Murtinho - MS.";(67) 992490315;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";Atividade Complementar;-21.7000022;-57.8752071
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM TEODORO RONDON;50001078;MS;Anastácio;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DOM AQUINO, 398 CENTRO. 79210-000 Anastácio - MS.";(67) 32452953;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-20.48011779;-55.80602973
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE CARLOS DRUMMOND DE ANDRADE;50001086;MS;Anastácio;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ACOGO, S/N VILA MAIOR. 79210-000 Anastácio - MS.";(67) 32451704;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";"Atendimento Educacional Especializado, Atividade Complementar";-20.4816949;-55.8147581
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE DEP CARLOS SOUZA MEDEIROS;50001094;MS;Anastácio;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOAO TEODORETO DA COSTA, 1397 COHAB. ARAPONGAS. 79210-000 Anastácio - MS.";(67) 32450382;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-20.49558;-55.79952333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE ROBERTO SCAFF;50001108;MS;Anastácio;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA GIOVANI TOSCANO DE BRITO, 885 CENTRO. 79210-000 Anastácio - MS.";(67) 32452462;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-20.4880432;-55.8051086
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE CIVICO MILITAR MARIA CORREA DIAS;50001116;MS;Anastácio;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CORONEL PONCE, 1488 CENTRO. 79210-000 Anastácio - MS.";(67) 32450469;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-20.4839824;-55.8028386
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE ROMALINO ALVES DE ALBRES;50001124;MS;Anastácio;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOAO LEITE RIBEIRO, 1545 VILA FLOR. 79210-000 Anastácio - MS.";(67) 32451126;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-20.4893458;-55.8106712
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EPM JARDIM INDEPENDENCIA;50001159;MS;Anastácio;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA HUMBERTO ANASTACIO, S/N JARDIM INDEPENDENCIA. 79210-000 Anastácio - MS.";(67) 32451389;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-20.50390673;-55.80013176
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA POLO MUNICIPAL RURAL MANOEL VALERIO DA SILVA;50001175;MS;Anastácio;Rural;A escola não está em área de localização diferenciada;Pública;"COLONIA VEREDAO, RURAL. 79210-000 Anastácio - MS.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-20.5617287;-55.7024406
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA-POLO MUNICIPAL RURAL KM 21;50001310;MS;Anastácio;Rural;A escola não está em área de localização diferenciada;Pública;"BR 419 KM 21, S.N ZONA RURAL. 79210-000 Anastácio - MS.";(67) 32451389;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-20.6521775;-55.8975031
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA- POLO MUNICIPAL RURAL NOVO PROGRESSO;50001361;MS;Anastácio;Rural;Área de assentamento;Pública;"ASSENTAMENTO MONJOLINHO, S/N SEDE DO ASSENTAMENTO. ZONA RURAL. 79210-000 Anastácio - MS.";(67) 999444773;Municipal;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-20.82573511;-55.66547241
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA -POLO MUNICIPAL RURAL SAO MANOEL;50001469;MS;Anastácio;Rural;Área de assentamento;Pública;"ASSENTAMENTO SAO MANOEL, S/N ZONA RURAL. AGROVILA. 79210-000 Anastácio - MS.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-20.7089827;-55.6926733
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INSTITUTO EDUCACIONAL DE ANASTACIO;50001515;MS;Anastácio;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA PADRE PATRICIO, 854 JARDIM SAN DIEGO. 79210-000 Anastácio - MS.";(67) 32452609;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-20.4840143;-55.810254
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO CRISTAO ALIANCADOS;50001558;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA PEDRO MARTINS, 1001 VILA DO POLONES. 79032-340 Campo Grande - MS.";(67) 30467326;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
